1 0.000000 0.000000 0.000000
2 0.020000 0.000000 0.000000
3 0.040000 0.000000 0.000000
4 0.060000 0.000000 0.000000
5 0.080000 0.000000 0.000000
6 0.100000 0.000000 0.000000
7 0.000000 0.020000 0.000000
8 0.020000 0.020000 0.957076
9 0.040000 0.020000 1.861627
10 0.060000 0.020000 2.606002
11 0.080000 0.020000 3.036042
12 0.100000 0.020000 3.171391
13 0.000000 0.040000 0.000000
14 0.020000 0.040000 1.966676
15 0.040000 0.040000 3.883429
16 0.060000 0.040000 5.526341
17 0.080000 0.040000 6.366773
18 0.100000 0.040000 6.613481
19 0.000000 0.060000 0.000000
20 0.020000 0.060000 3.026198
21 0.040000 0.060000 6.179071
22 0.060000 0.060000 9.249161
23 0.080000 0.060000 10.291230
24 0.100000 0.060000 10.548985
25 0.000000 0.080000 0.000000
26 0.020000 0.080000 3.959047
27 0.040000 0.080000 8.557497
28 0.060000 0.080000 15.000000
29 0.080000 0.080000 15.000000
30 0.100000 0.080000 15.000000
31 0.000000 0.100000 0.000000
32 0.020000 0.100000 4.252491
33 0.040000 0.100000 9.091872
34 0.060000 0.100000 15.000000
